type,name,file,x0,y0,x1,y1,width,height
full,01_whanau,full_transparent/01_whanau_transparent.png,,,,,1024,1536
cropped,01_whanau,full_cropped/01_whanau_cropped.png,70,80,956,1465,886,1385
full,02_kiki,full_transparent/02_kiki_transparent.png,,,,,1024,1536
cropped,02_kiki,full_cropped/02_kiki_cropped.png,95,55,930,1490,835,1435
full,03_ui_sheet,full_transparent/03_ui_sheet_transparent.png,,,,,1536,1024
cropped,03_ui_sheet,full_cropped/03_ui_sheet_cropped.png,29,50,1511,961,1482,911
full,04_whau,full_transparent/04_whau_transparent.png,,,,,1024,1536
cropped,04_whau,full_cropped/04_whau_cropped.png,73,68,950,1492,877,1424
segment,pepeha_01_ingoa,ui_segments/01_pepeha_01_ingoa.png,31,123,211,445,180,322
segment,pepeha_02_maunga,ui_segments/02_pepeha_02_maunga.png,209,123,385,445,176,322
segment,pepeha_03_awa,ui_segments/03_pepeha_03_awa.png,383,123,551,445,168,322
segment,pepeha_04_whanau,ui_segments/04_pepeha_04_whanau.png,549,123,722,445,173,322
segment,school_01_rosebank,ui_segments/05_school_01_rosebank.png,743,124,937,461,194,337
segment,school_02_don_buck,ui_segments/06_school_02_don_buck.png,934,123,1129,461,195,338
segment,school_03_glen_eden,ui_segments/07_school_03_glen_eden.png,1126,123,1322,461,196,338
segment,school_04_kauri_park,ui_segments/08_school_04_kauri_park.png,1318,123,1509,461,191,338
segment,sticker_awa_large,ui_segments/09_sticker_awa_large.png,69,538,352,959,283,421
segment,answer_01_pepeha_connects,ui_segments/10_answer_01_pepeha_connects.png,411,598,627,724,216,126
segment,answer_02_biggest_mountain,ui_segments/11_answer_02_biggest_mountain.png,628,586,820,725,192,139
segment,answer_03_any_mountain,ui_segments/12_answer_03_any_mountain.png,820,592,1015,725,195,133
segment,button_read_to_me,ui_segments/13_button_read_to_me.png,1041,582,1251,651,210,69
segment,button_back_to_map,ui_segments/14_button_back_to_map.png,1269,582,1479,651,210,69
segment,button_check_answer,ui_segments/15_button_check_answer.png,1041,671,1251,743,210,72
segment,button_add_sticker,ui_segments/16_button_add_sticker.png,1269,671,1479,743,210,72
segment,answer_04_kiki_practise,ui_segments/17_answer_04_kiki_practise.png,411,764,627,895,216,131
segment,answer_05_everyone_copies,ui_segments/18_answer_05_everyone_copies.png,628,763,820,896,192,133
segment,answer_06_kiki_guess,ui_segments/19_answer_06_kiki_guess.png,820,764,1015,896,195,132
segment,button_start_adventure,ui_segments/20_button_start_adventure.png,1040,763,1299,842,259,79
segment,button_next,ui_segments/21_button_next.png,1309,763,1480,842,171,79
segment,button_find_maunga,ui_segments/22_button_find_maunga.png,1040,861,1262,940,222,79
segment,button_whanau_circle,ui_segments/23_button_whanau_circle.png,1271,861,1494,940,223,79
